language,ctrl_flag,word,nodes,edges
el,control,αντάρτες_n,46,95
el,control,απόφαση_n,41,95
el,control,διαγωνισμός_n,47,95
el,control,επαναφορά_n,54,95
el,control,μετανάστης_n,42,95
el,control,μεταφοράς_n,54,95
el,control,μωσαϊκό_n,48,95
el,control,παραγωγός_n,53,95
el,control,ποδηλάτες_n,43,95
el,control,προσανατολισμό_n,50,95
el,control,προστατευτισμού_n,51,95
el,control,πύλη_n,40,95
el,control,υπερηφάνεια_n,49,95
el,control,φάκελος_n,45,95
el,control,χρόνος_n,45,95
el,no_control,αντάρτες_n,53,95
el,no_control,απόφαση_n,40,95
el,no_control,διαγωνισμός_n,47,95
el,no_control,επαναφορά_n,51,95
el,no_control,μετανάστης_n,39,95
el,no_control,μεταφοράς_n,48,95
el,no_control,μωσαϊκό_n,48,95
el,no_control,παραγωγός_n,46,95
el,no_control,ποδηλάτες_n,37,95
el,no_control,προσανατολισμό_n,50,95
el,no_control,προστατευτισμού_n,50,95
el,no_control,πύλη_n,47,95
el,no_control,υπερηφάνεια_n,51,95
el,no_control,φάκελος_n,48,95
el,no_control,χρόνος_n,41,95
eng,control,ability_n,158,7240
eng,control,accord_v,95,535
eng,control,arise_v,215,11275
eng,control,blow_n,65,290
eng,control,build_v,114,1325
eng,control,check_n,163,5050
eng,control,emotional_a,129,4105
eng,control,exceed_v,60,145
eng,control,flow_v,146,3260
eng,control,identify_v,99,880
eng,control,instant_n,162,9830
eng,control,maximum_n,153,6095
eng,control,national_a,98,1870
eng,control,popular_a,131,2515
eng,control,west_n,156,8485
eng,no_control,ability_n,156,7240
eng,no_control,accord_v,71,535
eng,no_control,arise_v,198,11275
eng,no_control,blow_n,65,290
eng,no_control,build_v,103,1325
eng,no_control,check_n,161,5050
eng,no_control,emotional_a,127,4105
eng,no_control,exceed_v,55,145
eng,no_control,flow_v,143,3260
eng,no_control,identify_v,99,880
eng,no_control,instant_n,162,9830
eng,no_control,maximum_n,150,6095
eng,no_control,national_a,95,1870
eng,no_control,popular_a,132,2515
eng,no_control,west_n,159,8485
es,control,catalizador_n,54,95
es,control,confección_n,36,95
es,control,dinámico_a,50,95
es,control,dirigente_a,44,95
es,control,doctrina_n,52,95
es,control,educación_n,56,95
es,control,explotar_v,56,95
es,control,falta_n,42,95
es,control,incumplimiento_n,44,95
es,control,opositor_n,56,95
es,control,ponderación_n,58,95
es,control,proponer_v,56,95
es,control,reconstruir_v,52,95
es,control,revolucionario_n,60,95
es,control,salvar_v,55,95
es,no_control,catalizador_n,52,95
es,no_control,confección_n,32,95
es,no_control,dinámico_a,54,95
es,no_control,dirigente_a,43,95
es,no_control,doctrina_n,49,95
es,no_control,educación_n,52,95
es,no_control,explotar_v,58,95
es,no_control,falta_n,43,95
es,no_control,incumplimiento_n,46,95
es,no_control,opositor_n,54,95
es,no_control,ponderación_n,55,95
es,no_control,proponer_v,58,95
es,no_control,reconstruir_v,42,95
es,no_control,revolucionario_n,59,95
es,no_control,salvar_v,55,95
fr,control,ascendance_n,35,95
fr,control,atrocité_n,54,95
fr,control,bâtir_v,55,95
fr,control,couramment_r,49,94
fr,control,documentation_n,53,95
fr,control,dénommer_v,50,95
fr,control,expulser_v,57,95
fr,control,fillette_n,40,95
fr,control,ingéniosité_n,48,95
fr,control,injuste_a,56,95
fr,control,linguiste_n,54,95
fr,control,monopoliser_v,54,95
fr,control,négation_n,49,95
fr,control,outrage_n,56,95
fr,control,progressivement_r,51,95
fr,no_control,ascendance_n,35,95
fr,no_control,atrocité_n,44,95
fr,no_control,bâtir_v,54,95
fr,no_control,couramment_r,44,95
fr,no_control,documentation_n,55,95
fr,no_control,dénommer_v,45,95
fr,no_control,expulser_v,58,95
fr,no_control,fillette_n,36,95
fr,no_control,ingéniosité_n,48,95
fr,no_control,injuste_a,52,95
fr,no_control,linguiste_n,54,95
fr,no_control,monopoliser_v,59,95
fr,no_control,négation_n,48,95
fr,no_control,outrage_n,57,95
fr,no_control,progressivement_r,50,95
